Time (seconds),Orientation X,Orientation Y,Orientation Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Position X,Position Y,Position Z,Linear Velocity X,Linear Velocity Y,Linear Velocity Z
0.006174802780151367,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.00906229019165039,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.02546095848083496,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.02813553810119629,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.04800128936767578,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.053665876388549805,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.06754231452941895,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.07189583778381348,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.0861353874206543,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.08881878852844238,4.996003610813204e-16,2.1682900924454013e-18,1.6513125488205344e-23,0.0,0.0,0.0,1.8138992810144406e-16,-3.586083365272003e-11,3.400332935805588e-05,0.0,0.0,0.0
0.11011815071105957,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,1.3031176885794622e-16,6.247506572617982e-19,2.1590085502657438e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,5.378163787743563e-18,-5.049223825399737e-12,2.768891514391132e-06
0.11465239524841309,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,1.237961804150489e-16,5.935131243987082e-19,2.0510581227524564e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,5.1092555983563845e-18,-4.796762634129749e-12,2.6304469386715752e-06
0.12788748741149902,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,1.1760637139429645e-16,5.638374681787727e-19,1.9485052166148336e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,4.853792818438565e-18,-4.556924502423261e-12,2.4989245917379964e-06
0.13288259506225586,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,1.1172605282458162e-16,5.35645594769834e-19,1.8510799557840918e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,4.611103177516636e-18,-4.329078277302098e-12,2.3739783621510964e-06
0.1457374095916748,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,1.0613975018335253e-16,5.088633150313423e-19,1.758525957994887e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,4.380548018640804e-18,-4.112624363436993e-12,2.2552794440435415e-06
0.14875197410583496,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,1.008327626741849e-16,4.834201492797752e-19,1.6705996600951425e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,4.161520617708764e-18,-3.906993145265143e-12,2.1425154718413643e-06
0.16774368286132812,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,9.579112454047565e-17,4.5924914181578635e-19,1.5870696770903853e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,3.953444586823326e-18,-3.711643488001886e-12,2.035389698249296e-06
0.1705162525177002,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,9.100156831345186e-17,4.36286684724997e-19,1.507716193235866e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,3.7557723574821594e-18,-3.5260613136017916e-12,1.933620213336831e-06
0.18805265426635742,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,8.645148989777926e-17,4.144723504887471e-19,1.4323303835740727e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,3.5679837396080515e-18,-3.3497582479217017e-12,1.8369392026699894e-06
0.19147539138793945,5.551115123125783e-16,2.4344259029023448e-18,1.743283558955489e-23,8.21289154028903e-17,3.937487329643097e-19,1.360713864395369e-24,1.836809572692958e-16,-3.8011738592685806e-11,3.5182841822243725e-05,3.3895845526276488e-18,-3.1822703355256165e-12,1.7450922425364898e-06
0.2092878818511963,4.996003610813204e-16,2.7073608597700988e-18,1.8365134477867294e-23,-7.77983891791224e-17,1.1401949187614158e-18,3.909658907910662e-24,1.8580067092032833e-16,-4.02039127224358e-11,3.637368723668392e-05,9.170181917051251e-18,-9.176631354699147e-12,5.0005633904504695e-06
